timestamp,open,high,low,close,volume,close_time
1763972497000,86868.58,86868.58,86868.58,86868.58,0.00736,1763972497999
1763972498000,86868.57,86868.57,86866.71,86866.71,2.96693,1763972498999
1763972499000,86866.27,86866.27,86864.97,86864.97,0.00614,1763972499999
1763972500000,86864.98,86864.98,86864.98,86864.98,0.00377,1763972500999
1763972501000,86864.98,86864.98,86864.98,86864.98,0.02542,1763972501999
1763972506000,86875.41,86883.13,86875.41,86883.13,0.1513,1763972506999
1763972507000,86883.13,86883.13,86883.13,86883.13,0.07994,1763972507999
1763972508000,86883.13,86883.13,86883.12,86883.13,0.00522,1763972508999
1763972509000,86883.13,86883.13,86883.13,86883.13,0.0,1763972509999
1763972510000,86883.13,86883.13,86868.33,86868.34,0.65148,1763972510999
1763972511000,86868.33,86868.34,86868.33,86868.34,0.05511,1763972511999
1763972512000,86868.33,86868.34,86868.33,86868.33,0.01512,1763972512999
1763972513000,86868.34,86868.34,86850.0,86850.0,0.31619,1763972513999
1763972514000,86850.0,86850.0,86850.0,86850.0,0.0,1763972514999
1763972515000,86850.01,86850.01,86850.01,86850.01,0.04799,1763972515999
1763972516000,86850.01,86850.01,86850.01,86850.01,0.00103,1763972516999
1763972517000,86850.0,86850.0,86838.71,86838.71,0.10208,1763972517999
1763972518000,86838.71,86838.72,86838.71,86838.71,0.0513,1763972518999
1763972519000,86838.72,86838.72,86838.72,86838.72,0.13565,1763972519999
1763972520000,86838.72,86845.98,86838.72,86845.98,0.12514,1763972520999
1763972521000,86845.98,86845.98,86845.97,86845.97,0.10229,1763972521999
1763972522000,86845.97,86845.97,86845.97,86845.97,0.0115,1763972522999
1763972523000,86845.98,86845.98,86845.98,86845.98,0.00533,1763972523999
1763972524000,86845.98,86845.98,86845.97,86845.98,0.02966,1763972524999
1763972525000,86845.97,86845.98,86845.97,86845.98,0.00071,1763972525999
1763972526000,86845.98,86845.98,86845.97,86845.98,0.18322,1763972526999
1763972527000,86845.98,86845.98,86845.98,86845.98,0.0,1763972527999
1763972528000,86845.97,86845.97,86837.99,86838.0,0.18865,1763972528999
1763972529000,86838.0,86838.0,86838.0,86838.0,0.00045,1763972529999
1763972530000,86837.99,86838.0,86837.99,86838.0,0.0036,1763972530999
1763972531000,86837.99,86838.0,86837.99,86837.99,0.01242,1763972531999
1763972532000,86838.0,86838.0,86838.0,86838.0,0.00018,1763972532999
1763972533000,86838.0,86838.0,86833.31,86833.31,0.25307,1763972533999
1763972534000,86833.3,86833.3,86818.79,86818.79,0.07008,1763972534999
1763972535000,86818.0,86818.0,86812.0,86812.0,0.09765,1763972535999
1763972536000,86812.0,86812.0,86812.0,86812.0,0.00024,1763972536999
1763972537000,86812.0,86812.0,86806.0,86806.01,0.09526,1763972537999
1763972538000,86806.01,86806.01,86806.01,86806.01,0.00013,1763972538999
1763972539000,86806.01,86806.01,86806.0,86806.01,0.16083,1763972539999
1763972540000,86806.39,86806.4,86806.39,86806.4,0.04646,1763972540999
1763972541000,86806.39,86806.39,86806.39,86806.39,0.03506,1763972541999
1763972542000,86806.4,86817.54,86806.4,86817.54,0.48328,1763972542999
1763972543000,86817.54,86817.54,86817.53,86817.53,0.02805,1763972543999
1763972544000,86817.53,86817.54,86817.53,86817.53,0.00827,1763972544999
1763972545000,86817.53,86817.54,86817.53,86817.54,0.1176,1763972545999
1763972546000,86817.53,86817.53,86802.7,86802.71,0.49894,1763972546999
1763972547000,86802.71,86814.36,86802.71,86814.36,0.11021,1763972547999
1763972548000,86814.36,86814.36,86814.36,86814.36,0.03344,1763972548999
1763972549000,86814.36,86814.36,86814.36,86814.36,0.00131,1763972549999
1763972550000,86814.35,86814.35,86814.35,86814.35,0.02485,1763972550999
1763972551000,86814.35,86814.35,86808.29,86808.29,0.03445,1763972551999
1763972552000,86808.29,86808.29,86808.29,86808.29,0.0023,1763972552999
1763972553000,86808.29,86808.29,86808.29,86808.29,0.00256,1763972553999
1763972554000,86808.29,86808.29,86808.29,86808.29,0.00164,1763972554999
1763972555000,86808.28,86808.28,86802.69,86802.69,0.18947,1763972555999
1763972556000,86802.69,86802.69,86800.68,86800.68,0.03492,1763972556999
1763972557000,86800.69,86814.0,86800.69,86814.0,0.53931,1763972557999
1763972558000,86814.0,86814.0,86814.0,86814.0,0.0,1763972558999
1763972559000,86814.37,86817.6,86814.37,86817.6,0.00989,1763972559999
1763972560000,86817.6,86817.6,86817.6,86817.6,0.00689,1763972560999
1763972561000,86817.6,86823.04,86817.6,86823.04,0.01598,1763972561999
1763972562000,86823.04,86823.05,86823.04,86823.05,0.01574,1763972562999
1763972563000,86823.04,86823.05,86823.04,86823.05,0.02085,1763972563999
1763972564000,86823.05,86823.05,86823.04,86823.05,0.09342,1763972564999
1763972565000,86823.05,86829.9,86823.05,86829.9,0.05447,1763972565999
1763972566000,86829.89,86829.9,86829.89,86829.9,0.00792,1763972566999
1763972567000,86829.9,86829.9,86829.9,86829.9,0.00384,1763972567999
1763972568000,86829.9,86838.04,86829.9,86838.04,0.69002,1763972568999
1763972569000,86838.67,86838.68,86838.67,86838.68,0.0172,1763972569999
1763972570000,86838.68,86838.68,86838.68,86838.68,8e-05,1763972570999
1763972571000,86838.68,86838.68,86838.68,86838.68,0.0,1763972571999
1763972572000,86838.68,86845.14,86838.68,86845.14,0.17523,1763972572999
1763972573000,86845.14,86845.14,86845.14,86845.14,0.0,1763972573999
1763972574000,86845.97,86845.97,86845.97,86845.97,0.00306,1763972574999
1763972575000,86845.98,86845.98,86845.98,86845.98,0.024,1763972575999
1763972576000,86845.97,86845.98,86845.97,86845.98,0.01887,1763972576999
1763972577000,86845.98,86845.98,86845.97,86845.97,0.0024,1763972577999
1763972578000,86845.98,86845.98,86845.98,86845.98,0.02209,1763972578999
1763972579000,86845.97,86859.28,86845.97,86859.28,0.08773,1763972579999
1763972580000,86859.28,86870.57,86859.28,86870.57,0.07501,1763972580999
1763972581000,86870.57,86870.57,86870.56,86870.56,0.00228,1763972581999
1763972582000,86870.57,86870.57,86870.56,86870.56,0.01257,1763972582999
1763972583000,86870.57,86870.57,86870.57,86870.57,0.002,1763972583999
1763972584000,86870.57,86874.91,86861.79,86861.79,3.00466,1763972584999
1763972585000,86861.78,86861.79,86861.12,86861.12,0.02638,1763972585999
1763972586000,86861.12,86861.12,86846.23,86846.23,0.13971,1763972586999
1763972587000,86846.23,86846.23,86846.23,86846.23,0.0,1763972587999
1763972588000,86846.24,86846.24,86839.66,86839.66,0.19413,1763972588999
1763972589000,86839.67,86839.67,86839.66,86839.67,0.07508,1763972589999
1763972590000,86839.66,86839.66,86839.66,86839.66,0.00134,1763972590999
1763972591000,86839.66,86839.67,86839.66,86839.67,0.0011,1763972591999
1763972592000,86839.67,86861.41,86839.67,86861.41,0.64293,1763972592999
1763972593000,86861.42,86861.42,86861.42,86861.42,0.002,1763972593999
1763972594000,86861.42,86861.42,86861.41,86861.42,0.00153,1763972594999
1763972595000,86861.41,86861.42,86861.41,86861.42,0.0198,1763972595999
1763972596000,86861.41,86861.41,86843.16,86843.17,0.13531,1763972596999
1763972597000,86843.17,86843.17,86843.17,86843.17,0.00638,1763972597999
1763972598000,86843.17,86843.17,86843.16,86843.16,0.00482,1763972598999
1763972599000,86843.17,86843.17,86843.16,86843.16,0.01591,1763972599999
1763972600000,86843.16,86843.16,86843.16,86843.16,0.0,1763972600999
1763972601000,86843.16,86843.16,86831.87,86831.87,0.28747,1763972601999
1763972602000,86831.87,86831.87,86831.87,86831.87,0.03969,1763972602999
1763972603000,86831.88,86837.96,86831.88,86837.96,0.13173,1763972603999
1763972604000,86838.99,86838.99,86838.98,86838.98,0.00884,1763972604999
1763972605000,86838.98,86838.98,86838.98,86838.98,0.00021,1763972605999
1763972606000,86838.99,86838.99,86838.99,86838.99,8e-05,1763972606999
1763972607000,86838.99,86847.14,86838.99,86847.14,0.20352,1763972607999
1763972608000,86847.13,86850.79,86847.13,86850.79,0.04532,1763972608999
1763972609000,86850.8,86850.8,86850.8,86850.8,0.00796,1763972609999
1763972610000,86850.79,86850.8,86850.79,86850.8,0.00084,1763972610999
1763972611000,86850.8,86850.8,86850.8,86850.8,0.0,1763972611999
1763972612000,86850.79,86850.79,86835.85,86835.85,0.19014,1763972612999
